i,l,k,zeta,w,phi1,phi2,xn,yn,xl1,yl1,xl2,yl2,xs,ys,delta_s,r,drdn,G,dGdn
7,20,3,0.861136,0.347855,0.0694318,0.930568,-0.258819,0.965926,0.5,-0.866025,0.707107,-0.707107,0.692727,-0.718141,0.261052,1.9343,0.990189,-0.659746,-0.511911
7,21,0,-0.861136,0.347855,0.930568,0.0694318,-0.258819,0.965926,0.707107,-0.707107,0.866025,-0.5,0.718141,-0.692727,0.261052,1.92499,0.927174,-0.65492,-0.481652
7,21,1,-0.339981,0.652145,0.669991,0.330009,-0.258819,0.965926,0.707107,-0.707107,0.866025,-0.5,0.759551,-0.63876,0.261052,1.90055,0.939095,-0.642144,-0.494117
7,21,2,0.339981,0.652145,0.330009,0.669991,-0.258819,0.965926,0.707107,-0.707107,0.866025,-0.5,0.813581,-0.568347,0.261052,1.87191,0.953465,-0.626958,-0.509355
7,21,3,0.861136,0.347855,0.0694318,0.930568,-0.258819,0.965926,0.707107,-0.707107,0.866025,-0.5,0.854991,-0.51438,0.261052,1.85253,0.963437,-0.616554,-0.520065
7,22,0,-0.861136,0.347855,0.930568,0.0694318,-0.258819,0.965926,0.866025,-0.5,0.965926,-0.258819,0.872962,-0.483254,0.261052,1.83876,0.870262,-0.609093,-0.473287
7,22,1,-0.339981,0.652145,0.669991,0.330009,-0.258819,0.965926,0.866025,-0.5,0.965926,-0.258819,0.898993,-0.420408,0.261052,1.80623,0.885939,-0.591239,-0.490492
7,22,2,0.339981,0.652145,0.330009,0.669991,-0.258819,0.965926,0.866025,-0.5,0.965926,-0.258819,0.932958,-0.338411,0.261052,1.76681,0.905702,-0.569177,-0.512619
7,22,3,0.861136,0.347855,0.0694318,0.930568,-0.258819,0.965926,0.866025,-0.5,0.965926,-0.258819,0.95899,-0.275565,0.261052,1.73907,0.920152,-0.553349,-0.529106
7,23,0,-0.861136,0.347855,0.930568,0.0694318,-0.258819,0.965926,0.965926,-0.258819,1,0,0.968292,-0.240849,0.261052,1.72108,0.798412,-0.54295,-0.463903
7,23,1,-0.339981,0.652145,0.669991,0.330009,-0.258819,0.965926,0.965926,-0.258819,1,0,0.977171,-0.173406,0.261052,1.681,0.817449,-0.519387,-0.486288
7,23,2,0.339981,0.652145,0.330009,0.669991,-0.258819,0.965926,0.965926,-0.258819,1,0,0.988755,-0.0854127,0.261052,1.63149,0.842254,-0.489493,-0.516249
7,23,3,0.861136,0.347855,0.0694318,0.930568,-0.258819,0.965926,0.965926,-0.258819,1,0,0.997634,-0.0179703,0.261052,1.59585,0.861065,-0.467404,-0.539567
8,0,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,1,0,0.965926,0.258819,0.997634,0.0179703,0.261052,1.72108,0.798412,-0.54295,-0.463903
8,0,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,1,0,0.965926,0.258819,0.988755,0.0854127,0.261052,1.681,0.817449,-0.519387,-0.486288
8,0,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,1,0,0.965926,0.258819,0.977171,0.173406,0.261052,1.63149,0.842254,-0.489493,-0.516249
8,0,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,1,0,0.965926,0.258819,0.968292,0.240849,0.261052,1.59585,0.861065,-0.467404,-0.539567
8,1,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,0.965926,0.258819,0.866025,0.5,0.95899,0.275565,0.261052,1.57394,0.712841,-0.453583,-0.452902
8,1,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,0.965926,0.258819,0.866025,0.5,0.932958,0.338411,0.261052,1.52701,0.734753,-0.423308,-0.481172
8,1,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,0.965926,0.258819,0.866025,0.5,0.898993,0.420408,0.261052,1.46825,0.764155,-0.384071,-0.520453
8,1,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,0.965926,0.258819,0.866025,0.5,0.872962,0.483254,0.261052,1.42532,0.787171,-0.354396,-0.552277
8,2,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,0.866025,0.5,0.707107,0.707107,0.854991,0.51438,0.261052,1.39988,0.614996,-0.336385,-0.439321
8,2,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,0.866025,0.5,0.707107,0.707107,0.813581,0.568347,0.261052,1.34689,0.639191,-0.297797,-0.474569
8,2,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,0.866025,0.5,0.707107,0.707107,0.759551,0.63876,0.261052,1.27989,0.67265,-0.246774,-0.525553
8,2,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,0.866025,0.5,0.707107,0.707107,0.718141,0.692727,0.261052,1.23041,0.699703,-0.207344,-0.568676
8,3,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,0.707107,0.707107,0.5,0.866025,0.692727,0.718141,0.261052,1.20186,0.506516,-0.18387,-0.421443
8,3,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,0.707107,0.707107,0.5,0.866025,0.63876,0.759551,0.261052,1.14373,0.532261,-0.134292,-0.465375
8,3,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,0.707107,0.707107,0.5,0.866025,0.568347,0.813581,0.261052,1.06963,0.569131,-0.0673162,-0.53208
8,3,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,0.707107,0.707107,0.5,0.866025,0.51438,0.854991,0.261052,1.01444,0.600096,-0.0143366,-0.591554
8,4,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,0.5,0.866025,0.258819,0.965926,0.483254,0.872962,0.261052,0.983279,0.389191,0.0168626,-0.39581
8,4,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,0.5,0.866025,0.258819,0.965926,0.420408,0.898993,0.261052,0.920998,0.415509,0.0822971,-0.451151
8,4,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,0.5,0.866025,0.258819,0.965926,0.338411,0.932958,0.261052,0.841078,0.454991,0.17307,-0.540962
8,4,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,0.5,0.866025,0.258819,0.965926,0.275565,0.95899,0.261052,0.781116,0.489919,0.247031,-0.627203
8,5,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,0.258819,0.965926,6.12323e-17,1,0.240849,0.968292,0.261052,0.747874,0.264873,0.290521,-0.354168
8,5,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,0.258819,0.965926,6.12323e-17,1,0.173406,0.977171,0.261052,0.682517,0.290237,0.381968,-0.425245
8,5,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,0.258819,0.965926,6.12323e-17,1,0.0854127,0.988755,0.261052,0.598139,0.33118,0.513932,-0.553683
8,5,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,0.258819,0.965926,6.12323e-17,1,0.0179703,0.997634,0.261052,0.534429,0.37066,0.626557,-0.693564
8,6,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,6.12323e-17,1,-0.258819,0.965926,-0.0179703,0.997634,0.261052,0.499673,0.135219,0.693801,-0.270615
8,6,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,6.12323e-17,1,-0.258819,0.965926,-0.0854127,0.988755,0.261052,0.432372,0.156267,0.83847,-0.361418
8,6,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,6.12323e-17,1,-0.258819,0.965926,-0.173406,0.977171,0.261052,0.344988,0.195848,1.06425,-0.567696
8,6,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,6.12323e-17,1,-0.258819,0.965926,-0.240849,0.968292,0.261052,0.2786,0.242518,1.27798,-0.870488
8,9,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,-0.707107,0.707107,-0.866025,0.5,-0.718141,0.692727,0.261052,0.2786,0.242518,1.27798,-0.870488
8,9,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,-0.707107,0.707107,-0.866025,0.5,-0.759551,0.63876,0.261052,0.344988,0.195848,1.06425,-0.567696
8,9,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,-0.707107,0.707107,-0.866025,0.5,-0.813581,0.568347,0.261052,0.432372,0.156267,0.83847,-0.361418
8,9,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,-0.707107,0.707107,-0.866025,0.5,-0.854991,0.51438,0.261052,0.499673,0.135219,0.693801,-0.270615
8,10,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,-0.866025,0.5,-0.965926,0.258819,-0.872962,0.483254,0.261052,0.534429,0.37066,0.626557,-0.693564
8,10,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,-0.866025,0.5,-0.965926,0.258819,-0.898993,0.420408,0.261052,0.598139,0.33118,0.513932,-0.553683
8,10,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,-0.866025,0.5,-0.965926,0.258819,-0.932958,0.338411,0.261052,0.682517,0.290237,0.381968,-0.425245
8,10,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,-0.866025,0.5,-0.965926,0.258819,-0.95899,0.275565,0.261052,0.747874,0.264873,0.290521,-0.354168
8,11,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,-0.965926,0.258819,-1,5.66554e-16,-0.968292,0.240849,0.261052,0.781116,0.489919,0.247031,-0.627203
8,11,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,-0.965926,0.258819,-1,5.66554e-16,-0.977171,0.173406,0.261052,0.841078,0.454991,0.17307,-0.540962
8,11,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,-0.965926,0.258819,-1,5.66554e-16,-0.988755,0.0854127,0.261052,0.920998,0.415509,0.0822971,-0.451151
8,11,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,-0.965926,0.258819,-1,5.66554e-16,-0.997634,0.0179703,0.261052,0.983279,0.389191,0.0168626,-0.39581
8,12,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,-1,5.66554e-16,-0.965926,-0.258819,-0.997634,-0.0179703,0.261052,1.01444,0.600096,-0.0143366,-0.591554
8,12,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,-1,5.66554e-16,-0.965926,-0.258819,-0.988755,-0.0854127,0.261052,1.06963,0.569131,-0.0673162,-0.53208
8,12,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,-1,5.66554e-16,-0.965926,-0.258819,-0.977171,-0.173406,0.261052,1.14373,0.532261,-0.134292,-0.465375
8,12,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,-1,5.66554e-16,-0.965926,-0.258819,-0.968292,-0.240849,0.261052,1.20186,0.506516,-0.18387,-0.421443
8,13,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,-0.965926,-0.258819,-0.866025,-0.5,-0.95899,-0.275565,0.261052,1.23041,0.699703,-0.207344,-0.568676
8,13,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,-0.965926,-0.258819,-0.866025,-0.5,-0.932958,-0.338411,0.261052,1.27989,0.67265,-0.246774,-0.525553
8,13,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,-0.965926,-0.258819,-0.866025,-0.5,-0.898993,-0.420408,0.261052,1.34689,0.639191,-0.297797,-0.474569
8,13,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,-0.965926,-0.258819,-0.866025,-0.5,-0.872962,-0.483254,0.261052,1.39988,0.614996,-0.336385,-0.439321
8,14,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,-0.866025,-0.5,-0.707107,-0.707107,-0.854991,-0.51438,0.261052,1.42532,0.787171,-0.354396,-0.552277
8,14,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,-0.866025,-0.5,-0.707107,-0.707107,-0.813581,-0.568347,0.261052,1.46825,0.764155,-0.384071,-0.520453
8,14,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,-0.866025,-0.5,-0.707107,-0.707107,-0.759551,-0.63876,0.261052,1.52701,0.734753,-0.423308,-0.481172
8,14,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,-0.866025,-0.5,-0.707107,-0.707107,-0.718141,-0.692727,0.261052,1.57394,0.712841,-0.453583,-0.452902
8,15,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,-0.707107,-0.707107,-0.5,-0.866025,-0.692727,-0.718141,0.261052,1.59585,0.861065,-0.467404,-0.539567
8,15,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,-0.707107,-0.707107,-0.5,-0.866025,-0.63876,-0.759551,0.261052,1.63149,0.842254,-0.489493,-0.516249
8,15,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,-0.707107,-0.707107,-0.5,-0.866025,-0.568347,-0.813581,0.261052,1.681,0.817449,-0.519387,-0.486288
8,15,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,-0.707107,-0.707107,-0.5,-0.866025,-0.51438,-0.854991,0.261052,1.72108,0.798412,-0.54295,-0.463903
8,16,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,-0.5,-0.866025,-0.258819,-0.965926,-0.483254,-0.872962,0.261052,1.73907,0.920152,-0.553349,-0.529106
8,16,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,-0.5,-0.866025,-0.258819,-0.965926,-0.420408,-0.898993,0.261052,1.76681,0.905702,-0.569177,-0.512619
8,16,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,-0.5,-0.866025,-0.258819,-0.965926,-0.338411,-0.932958,0.261052,1.80623,0.885939,-0.591239,-0.490492
8,16,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,-0.5,-0.866025,-0.258819,-0.965926,-0.275565,-0.95899,0.261052,1.83876,0.870262,-0.609093,-0.473287
8,17,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,-0.258819,-0.965926,-1.83697e-16,-1,-0.240849,-0.968292,0.261052,1.85253,0.963437,-0.616554,-0.520065
8,17,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,-0.258819,-0.965926,-1.83697e-16,-1,-0.173406,-0.977171,0.261052,1.87191,0.953465,-0.626958,-0.509355
8,17,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,-0.258819,-0.965926,-1.83697e-16,-1,-0.0854127,-0.988755,0.261052,1.90055,0.939095,-0.642144,-0.494117
8,17,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,-0.258819,-0.965926,-1.83697e-16,-1,-0.0179703,-0.997634,0.261052,1.92499,0.927174,-0.65492,-0.481652
8,18,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,-1.83697e-16,-1,0.258819,-0.965926,0.0179703,-0.997634,0.261052,1.9343,0.990189,-0.659746,-0.511911
8,18,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,-1.83697e-16,-1,0.258819,-0.965926,0.0854127,-0.988755,0.261052,1.94497,0.984756,-0.665248,-0.506309
8,18,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,-1.83697e-16,-1,0.258819,-0.965926,0.173406,-0.977171,0.261052,1.96236,0.976032,-0.674147,-0.497377
8,18,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,-1.83697e-16,-1,0.258819,-0.965926,0.240849,-0.968292,0.261052,1.97828,0.968179,-0.682226,-0.489405
8,19,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,0.258819,-0.965926,0.5,-0.866025,0.275565,-0.95899,0.261052,1.98297,0.999958,-0.684597,-0.504272
8,19,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,0.258819,-0.965926,0.5,-0.866025,0.338411,-0.932958,0.261052,1.98476,0.999058,-0.685498,-0.503364
8,19,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,0.258819,-0.965926,0.5,-0.866025,0.420408,-0.898993,0.261052,1.99059,0.996132,-0.68843,-0.500421
8,19,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,0.258819,-0.965926,0.5,-0.866025,0.483254,-0.872962,0.261052,1.99771,0.992579,-0.692004,-0.496857
8,20,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,0.5,-0.866025,0.707107,-0.707107,0.51438,-0.854991,0.261052,1.99771,0.992579,-0.692004,-0.496857
8,20,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,0.5,-0.866025,0.707107,-0.707107,0.568347,-0.813581,0.261052,1.99059,0.996132,-0.68843,-0.500421
8,20,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,0.5,-0.866025,0.707107,-0.707107,0.63876,-0.759551,0.261052,1.98476,0.999058,-0.685498,-0.503364
8,20,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,0.5,-0.866025,0.707107,-0.707107,0.692727,-0.718141,0.261052,1.98297,0.999958,-0.684597,-0.504272
8,21,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,0.707107,-0.707107,0.866025,-0.5,0.718141,-0.692727,0.261052,1.97828,0.968179,-0.682226,-0.489405
8,21,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,0.707107,-0.707107,0.866025,-0.5,0.759551,-0.63876,0.261052,1.96236,0.976032,-0.674147,-0.497377
8,21,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,0.707107,-0.707107,0.866025,-0.5,0.813581,-0.568347,0.261052,1.94497,0.984756,-0.665248,-0.506309
8,21,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,0.707107,-0.707107,0.866025,-0.5,0.854991,-0.51438,0.261052,1.9343,0.990189,-0.659746,-0.511911
8,22,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,0.866025,-0.5,0.965926,-0.258819,0.872962,-0.483254,0.261052,1.92499,0.927174,-0.65492,-0.481652
8,22,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,0.866025,-0.5,0.965926,-0.258819,0.898993,-0.420408,0.261052,1.90055,0.939095,-0.642144,-0.494117
8,22,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,0.866025,-0.5,0.965926,-0.258819,0.932958,-0.338411,0.261052,1.87191,0.953465,-0.626958,-0.509355
8,22,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,0.866025,-0.5,0.965926,-0.258819,0.95899,-0.275565,0.261052,1.85253,0.963437,-0.616554,-0.520065
8,23,0,-0.861136,0.347855,0.930568,0.0694318,-0.5,0.866025,0.965926,-0.258819,1,0,0.968292,-0.240849,0.261052,1.83876,0.870262,-0.609093,-0.473287
8,23,1,-0.339981,0.652145,0.669991,0.330009,-0.5,0.866025,0.965926,-0.258819,1,0,0.977171,-0.173406,0.261052,1.80623,0.885939,-0.591239,-0.490492
8,23,2,0.339981,0.652145,0.330009,0.669991,-0.5,0.866025,0.965926,-0.258819,1,0,0.988755,-0.0854127,0.261052,1.76681,0.905702,-0.569177,-0.512619
8,23,3,0.861136,0.347855,0.0694318,0.930568,-0.5,0.866025,0.965926,-0.258819,1,0,0.997634,-0.0179703,0.261052,1.73907,0.920152,-0.553349,-0.529106
9,0,0,-0.861136,0.347855,0.930568,0.0694318,-0.707107,0.707107,1,0,0.965926,0.258819,0.997634,0.0179703,0.261052,1.83876,0.870262,-0.609093,-0.473287
9,0,1,-0.339981,0.652145,0.669991,0.330009,-0.707107,0.707107,1,0,0.965926,0.258819,0.988755,0.0854127,0.261052,1.80623,0.885939,-0.591239,-0.490492
9,0,2,0.339981,0.652145,0.330009,0.669991,-0.707107,0.707107,1,0,0.965926,0.258819,0.977171,0.173406,0.261052,1.76681,0.905702,-0.569177,-0.512619
9,0,3,0.861136,0.347855,0.0694318,0.930568,-0.707107,0.707107,1,0,0.965926,0.258819,0.968292,0.240849,0.261052,1.73907,0.920152,-0.553349,-0.529106
9,1,0,-0.861136,0.347855,0.930568,0.0694318,-0.707107,0.707107,0.965926,0.258819,0.866025,0.5,0.95899,0.275565,0.261052,1.72108,0.798412,-0.54295,-0.463903
9,1,1,-0.339981,0.652145,0.669991,0.330009,-0.707107,0.707107,0.965926,0.258819,0.866025,0.5,0.932958,0.338411,0.261052,1.681,0.817449,-0.519387,-0.486288
9,1,2,0.339981,0.652145,0.330009,0.669991,-0.707107,0.707107,0.965926,0.258819,0.866025,0.5,0.898993,0.420408,0.261052,1.63149,0.842254,-0.489493,-0.516249
9,1,3,0.861136,0.347855,0.0694318,0.930568,-0.707107,0.707107,0.965926,0.258819,0.866025,0.5,0.872962,0.483254,0.261052,1.59585,0.861065,-0.467404,-0.539567
9,2,0,-0.861136,0.347855,0.930568,0.0694318,-0.707107,0.707107,0.866025,0.5,0.707107,0.707107,0.854991,0.51438,0.261052,1.57394,0.712841,-0.453583,-0.452902
9,2,1,-0.339981,0.652145,0.669991,0.330009,-0.707107,0.707107,0.866025,0.5,0.707107,0.707107,0.813581,0.568347,0.261052,1.52701,0.734753,-0.423308,-0.481172
9,2,2,0.339981,0.652145,0.330009,0.669991,-0.707107,0.707107,0.866025,0.5,0.707107,0.707107,0.759551,0.63876,0.261052,1.46825,0.764155,-0.384071,-0.520453
9,2,3,0.861136,0.347855,0.0694318,0.930568,-0.707107,0.707107,0.866025,0.5,0.707107,0.707107,0.718141,0.692727,0.261052,1.42532,0.787171,-0.354396,-0.552277
9,3,0,-0.861136,0.347855,0.930568,0.0694318,-0.707107,0.707107,0.707107,0.707107,0.5,0.866025,0.692727,0.718141,0.261052,1.39988,0.614996,-0.336385,-0.439321
9,3,1,-0.339981,0.652145,0.669991,0.330009,-0.707107,0.707107,0.707107,0.707107,0.5,0.866025,0.63876,0.759551,0.261052,1.34689,0.639191,-0.297797,-0.474569
9,3,2,0.339981,0.652145,0.330009,0.669991,-0.707107,0.707107,0.707107,0.707107,0.5,0.866025,0.568347,0.813581,0.261052,1.27989,0.67265,-0.246774,-0.525553
9,3,3,0.861136,0.347855,0.0694318,0.930568,-0.707107,0.707107,0.707107,0.707107,0.5,0.866025,0.51438,0.854991,0.261052,1.23041,0.699703,-0.207344,-0.568676
9,4,0,-0.861136,0.347855,0.930568,0.0694318,-0.707107,0.707107,0.5,0.866025,0.258819,0.965926,0.483254,0.872962,0.261052,1.20186,0.506516,-0.18387,-0.421443
9,4,1,-0.339981,0.652145,0.669991,0.330009,-0.707107,0.707107,0.5,0.866025,0.258819,0.965926,0.420408,0.898993,0.261052,1.14373,0.532261,-0.134292,-0.465375
9,4,2,0.339981,0.652145,0.330009,0.669991,-0.707107,0.707107,0.5,0.866025,0.258819,0.965926,0.338411,0.932958,0.261052,1.06963,0.569131,-0.0673162,-0.53208
9,4,3,0.861136,0.347855,0.0694318,0.930568,-0.707107,0.707107,0.5,0.866025,0.258819,0.965926,0.275565,0.95899,0.261052,1.01444,0.600096,-0.0143366,-0.591554
9,5,0,-0.861136,0.347855,0.930568,0.0694318,-0.707107,0.707107,0.258819,0.965926,6.12323e-17,1,0.240849,0.968292,0.261052,0.983279,0.389191,0.0168626,-0.39581
9,5,1,-0.339981,0.652145,0.669991,0.330009,-0.707107,0.707107,0.258819,0.965926,6.12323e-17,1,0.173406,0.977171,0.261052,0.920998,0.415509,0.0822971,-0.451151
9,5,2,0.339981,0.652145,0.330009,0.669991,-0.707107,0.707107,0.258819,0.965926,6.12323e-17,1,0.0854127,0.988755,0.261052,0.841078,0.454991,0.17307,-0.540962
9,5,3,0.861136,0.347855,0.0694318,0.930568,-0.707107,0.707107,0.258819,0.965926,6.12323e-17,1,0.0179703,0.997634,0.261052,0.781116,0.489919,0.247031,-0.627203
9,6,0,-0.861136,0.347855,0.930568,0.0694318,-0.707107,0.707107,6.12323e-17,1,-0.258819,0.965926,-0.0179703,0.997634,0.261052,0.747874,0.264873,0.290521,-0.354168
9,6,1,-0.339981,0.652145,0.669991,0.330009,-0.707107,0.707107,6.12323e-17,1,-0.258819,0.965926,-0.0854127,0.988755,0.261052,0.682517,0.290237,0.381968,-0.425245
9,6,2,0.339981,0.652145,0.330009,0.669991,-0.707107,0.707107,6.12323e-17,1,-0.258819,0.965926,-0.173406,0.977171,0.261052,0.598139,0.33118,0.513932,-0.553683
9,6,3,0.861136,0.347855,0.0694318,0.930568,-0.707107,0.707107,6.12323e-17,1,-0.258819,0.965926,-0.240849,0.968292,0.261052,0.534429,0.37066,0.626557,-0.693564
9,7,0,-0.861136,0.347855,0.930568,0.0694318,-0.707107,0.707107,-0.258819,0.965926,-0.5,0.866025,-0.275565,0.95899,0.261052,0.499673,0.135219,0.693801,-0.270615
9,7,1,-0.339981,0.652145,0.669991,0.330009,-0.707107,0.707107,-0.258819,0.965926,-0.5,0.866025,-0.338411,0.932958,0.261052,0.432372,0.156267,0.83847,-0.361418
9,7,2,0.339981,0.652145,0.330009,0.669991,-0.707107,0.707107,-0.258819,0.965926,-0.5,0.866025,-0.420408,0.898993,0.261052,0.344988,0.195848,1.06425,-0.567696
9,7,3,0.861136,0.347855,0.0694318,0.930568,-0.707107,0.707107,-0.258819,0.965926,-0.5,0.866025,-0.483254,0.872962,0.261052,0.2786,0.242518,1.27798,-0.870488
9,10,0,-0.861136,0.347855,0.930568,0.0694318,-0.707107,0.707107,-0.866025,0.5,-0.965926,0.258819,-0.872962,0.483254,0.261052,0.2786,0.242518,1.27798,-0.870488
9,10,1,-0.339981,0.652145,0.669991,0.330009,-0.707107,0.707107,-0.866025,0.5,-0.965926,0.258819,-0.898993,0.420408,0.261052,0.344988,0.195848,1.06425,-0.567696
9,10,2,0.339981,0.652145,0.330009,0.669991,-0.707107,0.707107,-0.866025,0.5,-0.965926,0.258819,-0.932958,0.338411,0.261052,0.432372,0.156267,0.83847,-0.361418
9,10,3,0.861136,0.347855,0.0694318,0.930568,-0.707107,0.707107,-0.866025,0.5,-0.965926,0.258819,-0.95899,0.275565,0.261052,0.499673,0.135219,0.693801,-0.270615
9,11,0,-0.861136,0.347855,0.930568,0.0694318,-0.707107,0.707107,-0.965926,0.258819,-1,5.66554e-16,-0.968292,0.240849,0.261052,0.534429,0.37066,0.626557,-0.693564
9,11,1,-0.339981,0.652145,0.669991,0.330009,-0.707107,0.707107,-0.965926,0.258819,-1,5.66554e-16,-0.977171,0.173406,0.261052,0.598139,0.33118,0.513932,-0.553683
9,11,2,0.339981,0.652145,0.330009,0.669991,-0.707107,0.707107,-0.965926,0.258819,-1,5.66554e-16,-0.988755,0.0854127,0.261052,0.682517,0.290237,0.381968,-0.425245
9,11,3,0.861136,0.347855,0.0694318,0.930568,-0.707107,0.707107,-0.965926,0.258819,-1,5.66554e-16,-0.997634,0.0179703,0.261052,0.747874,0.264873,0.290521,-0.354168
9,12,0,-0.861136,0.347855,0.930568,0.0694318,-0.707107,0.707107,-1,5.66554e-16,-0.965926,-0.258819,-0.997634,-0.0179703,0.261052,0.781116,0.489919,0.247031,-0.627203
9,12,1,-0.339981,0.652145,0.669991,0.330009,-0.707107,0.707107,-1,5.66554e-16,-0.965926,-0.258819,-0.988755,-0.0854127,0.261052,0.841078,0.454991,0.17307,-0.540962
9,12,2,0.339981,0.652145,0.330009,0.669991,-0.707107,0.707107,-1,5.66554e-16,-0.965926,-0.258819,-0.977171,-0.173406,0.261052,0.920998,0.415509,0.0822971,-0.451151
